"Citation.ID","abstract_screen","full_text_screen","journal_book_title","Score","eligible_experimental","eligible_quantitative","eligible_comments"
"111569861",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",57,"Yes","Yes","Treatment has therapist  and control has booklet"
"111570112",1,"Ineligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",50,"Yes","Yes","cross over design, between subjects design"
"111569887",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",49,"Yes","Yes","Not sure about PNRD status. May need to look at supplemental material"
"111569212",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",71,"Yes","Yes",""
"111569267",1,"Ineligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",10,"Yes","No","Comparing how measures are realted to each other during an RCT"
"111568502",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",71,"Yes","Yes",""
"111569849",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",45,"Yes","Yes",""
"111565394",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",23,"Yes","Yes","Mediation moderation paper "
"111568842",-1,NA,"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",1,NA,NA,NA
"111565396",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",26,"Yes","Yes","Student involved in treatment"
"111571480",-1,NA,"HEALTH PSYCHOLOGY",2,NA,NA,NA
"111564887",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",25,"Yes","Yes",""
"111564763",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",67,"Yes","Yes","Group intervention"
"111564722",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",50,"Yes","Yes","Friend pairs in treatment but not in control. (They have friends"
"111570022",1,"Eligible","HEALTH PSYCHOLOGY",70,"Yes","Yes","Partial Nesting complex with mentors and peers and groups"
"111569894",1,"Eligible","HEALTH PSYCHOLOGY",51,"Yes","Yes",""
"111566942",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",4,"Yes","Yes",""
"111565429",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111569227",-1,NA,"HEALTH PSYCHOLOGY",19,NA,NA,NA
"111567722",1,"Eligible","HEALTH PSYCHOLOGY",30,"Yes","Yes",""
"111567703",-1,NA,"HEALTH PSYCHOLOGY",2,NA,NA,NA
