"citation_id","study_id","response_id","experiment","cond_name","cond_type","cond_purpose","cond_exp_units_count","cond_exp_units_count_source","cond_obs_units_count","cond_obs_units_count_source","cond_treatment_provider_exp","cond_treatment_provider_exp_detail","cond_treatment_provider_obs","cond_treatment_provider_obs_detail","cond_treatment_provider_num","cond_treatment_provider_num_source","cond_treatment_groups_exp","cond_treatment_groups_exp_detail","cond_treatment_groups_obs","cond_treatment_groups_obs_detail","cond_treatment_groups_num","cond_treatment_groups_num_source","cond_comments"
"111573517","111573517","28617","1","Bringing in the Bystander—High School Curriculum BITB-HSC","Treatment","seven-session curriculum taught by a man and women facilitator. Includes 60-min school personnel workshop","25* (for both conditions)","99, Participants","1081","99, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111573517","111573517","28617","1","waitlist control","Control","Waitlist and did not participate in BITB-HSC","25* (for both conditions)","99, Participants","1322","99, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111571561","111571561","27827","1","Coaching or Course","Treatment","Professional development program 14 week course, trained coach feedback on teacher-child interactions","180*","11, Table 1 *(not baseline since filtered out missing data)","673*","11, Table 1 *(not baseline since filtered out missing data)","Yes","Teachers received coaching and enrolled in professional development course","No",NA,"12 Coaches, 15 course instructors","961, Course ~ 964, MTP Coaching  (Pianta, et al. 2017)","Yes","Each Course instructor taught multiple courses each a size of 5-15","No",NA,"15","961, Course (Pianta, et al. 2017)","Coaches and amount of instructors were at baseline. This study examines a subset where unclear how many coaches or instructors are left. Unclear how many sections each instructor taught."
"111571561","111571561","27827","1","Control","Control","Not assigned to coaching or professional development course","70*","11, Table 1 *(not baseline since filtered out missing data)","269*","11, Table 1 *(not baseline since filtered out missing data)","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111566946","111566946","28715","1","Improving Children’s Understanding of Equivalence Intervention","Treatment","out of the box supplementary intervention including lessons and paper based activities","69","622, Participants","1567","622, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111566946","111566946","28715","1","traditional arithmetic practice","Control","active supplemental practice","63","622, Participants","1439","622, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111566538","111566538","28565","1","intensive lifestyle intervention (ILI)","Treatment","Multicomponent intervention that involves dieting, exercise, and social support","482","Supplemental Figure S1",NA,NA,"No",NA,NA,NA,NA,NA,"Yes","3 group meetings per month with ongoing open group meeting led by a counselor",NA,NA,"Unclear how many groups per center or size of groups","616-617, Lifestyle Intervention (Original Protocol)",NA
"111566538","111566538","28565","1","diabetes support and education (DSE)","Control","Diabetes support and education provides three group educational/social support sessions each year","492","Supplemental Figure S1",NA,NA,"No",NA,NA,NA,NA,NA,"Yes","3 group educational/social support sessions per year",NA,NA,"Unclear how many groups per center or size of groups","615, Diabetes support and education (Original Protocol)",NA
"111565413","111565413","28523","1","Cooperation in the Classroom","Treatment","Teachers were trained about cooperative learning","7","357, Sample","875","Calculated from Table 1, 357","Yes","School wide training delivered by authors of the training manual","No",NA,"1","(Group of authors D.W. Johnson and R.T. Johnson) 358, Procedure","No",NA,"No",NA,NA,NA,"Teachers were given training within their schools. No between school training."
"111565413","111565413","28523","1","Waitlist Control","Control","Receive treatment at a later date","8","357, Sample","1015","Calculated from Table 1, 357","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111566900","111566900","27823","1","CRA-I Group","Treatment","structured math lessons with focus on fractions and decimals","11","207, Design",NA,NA,"Yes","two researchers giving instruction",NA,NA,"1 group of researchers (2 taught at the same time)","208, Participants and Setting","Yes","Students received lesson together in a single classroom",NA,NA,"1","208, Participants and Setting","There were two tables in the classrooms that students worked in but they mentioned students rotated  tables within the classroom"
"111566900","111566900","27823","1","Control Group","Control","General education on mathematics","11","207, Design",NA,NA,"Yes","normal teacher giving instruction",NA,NA,"1","211, Comparison group materials and procedures","Yes","Students received lesson together in a single classroom",NA,NA,"1","211, Comparison group materials and procedures",NA
"111572076","111572076","28382","1","Introduce Herd immunity","Treatment","In survey introduce term herd immunity","1293","5, Table 2",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111572076","111572076","28382","1","No Information","Control","In survey do not introduce information","1295","5, Table 2",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111570010","111570010","27841","1","intervention","Treatment","Parent and teacher training","12","775, Participants","264","775, Participants","No",NA,"Yes","Faculty of Education, Open  University of Tanzania, employees trained teachers and parents following manuals","Not Reported",NA,"No",NA,"No",NA,NA,NA,"Hard to determine if treatment providers worked between schools or within schools. Since only one teacher per classroom training was at the experimental unit or observable unit level."
"111570010","111570010","27841","1","Control Wait list","Control","No access to treatment or special activities (business as usual)","12","775, Participants","336","775, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
